/Users/shivendra/Desktop/RL_David_Silver/venv/bin/python /Applications/PyCharm.app/Contents/helpers/pydev/pydevconsole.py 59792 59793
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['/Users/shivendra/Desktop/Udacity/AI_Robotics'])
PyDev console: starting.
Python 3.6.5 (v3.6.5:f59c0932b4, Mar 28 2018, 03:03:55) 
[GCC 4.2.1 (Apple Inc. build 5666) (dot 3)] on darwin
runfile('/Users/shivendra/Desktop/RL_David_Silver/Tic-Tac-Toe/comp_vs_comp_training.py', wdir='/Users/shivendra/Desktop/RL_David_Silver/Tic-Tac-Toe')
Rounds done = 4200000 | Wins = 9714 | Losses = 135
Rounds done = 4210000 | Wins = 9733 | Losses = 141
Rounds done = 4220000 | Wins = 9720 | Losses = 139
Rounds done = 4230000 | Wins = 9733 | Losses = 122
Rounds done = 4240000 | Wins = 9723 | Losses = 137
Rounds done = 4250000 | Wins = 9696 | Losses = 186
Rounds done = 4260000 | Wins = 9733 | Losses = 160
Rounds done = 4270000 | Wins = 9778 | Losses = 133
Rounds done = 4280000 | Wins = 9754 | Losses = 140
Rounds done = 4290000 | Wins = 9695 | Losses = 172
Rounds done = 4300000 | Wins = 9647 | Losses = 177
Rounds done = 4310000 | Wins = 9661 | Losses = 168
Rounds done = 4320000 | Wins = 9745 | Losses = 133
Rounds done = 4330000 | Wins = 9723 | Losses = 169
Rounds done = 4340000 | Wins = 9675 | Losses = 168
Rounds done = 4350000 | Wins = 9710 | Losses = 161
Rounds done = 4360000 | Wins = 9679 | Losses = 162
Rounds done = 4370000 | Wins = 9696 | Losses = 152
Rounds done = 4380000 | Wins = 9634 | Losses = 154
Rounds done = 4390000 | Wins = 9728 | Losses = 132
Rounds done = 4400000 | Wins = 9793 | Losses = 103
Rounds done = 4410000 | Wins = 9678 | Losses = 155
Rounds done = 4420000 | Wins = 9640 | Losses = 177
Rounds done = 4430000 | Wins = 9657 | Losses = 177
Rounds done = 4440000 | Wins = 9701 | Losses = 158
Rounds done = 4450000 | Wins = 9712 | Losses = 151
Rounds done = 4460000 | Wins = 9690 | Losses = 163
Rounds done = 4470000 | Wins = 9689 | Losses = 152
Rounds done = 4480000 | Wins = 9642 | Losses = 198
Rounds done = 4490000 | Wins = 9695 | Losses = 165
Rounds done = 4500000 | Wins = 9705 | Losses = 155
Rounds done = 4510000 | Wins = 9687 | Losses = 156
Rounds done = 4520000 | Wins = 9696 | Losses = 163
Rounds done = 4530000 | Wins = 9709 | Losses = 140
Rounds done = 4540000 | Wins = 9630 | Losses = 199
Rounds done = 4550000 | Wins = 9734 | Losses = 149
